FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.000ac76d-b134-34e5-95c0-acbf83d82c18,-42.372,-13.942,2019-10-19T16:10:00,AQUA_M-T,CAETITÉ,BAHIA,Brasil,POINT (-13.942 -42.372)
focos_ams_hoje_ref.002b3117-0f18-3f0a-9fc7-667f4f942d1c,-65.471,7.521,2019-10-19T17:55:00,AQUA_M-T,Cedeño,Bolívar,Venezuela,POINT (7.521 -65.471)
focos_ams_hoje_ref.003ccc22-86bd-3f41-b5b7-59fa069b7cb7,-45.947,-5.101,2019-10-19T16:15:00,AQUA_M-T,ARAME,MARANHÃO,Brasil,POINT (-5.101 -45.947)
focos_ams_hoje_ref.00527cec-8339-357b-9480-5e9b0ef28c5b,-41.297,-17.555,2019-10-19T16:10:00,AQUA_M-T,TEÓFILO OTONI,MINAS GERAIS,Brasil,POINT (-17.555 -41.297)
focos_ams_hoje_ref.012720eb-b5a4-3901-8e82-089f20cc4b5e,-41.448,-14.491,2019-10-19T16:10:00,AQUA_M-T,ARACATU,BAHIA,Brasil,POINT (-14.491 -41.448)
focos_ams_hoje_ref.024a238d-0736-3c15-8e24-564e4a7863d4,-44.525,-7.876,2019-10-19T16:15:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,POINT (-7.876 -44.525)
focos_ams_hoje_ref.026ab571-44e9-3be8-ba2b-034e99d8deb5,-43.673,-5.059,2019-10-19T16:15:00,AQUA_M-T,SÃO JOÃO DO SOTER,MARANHÃO,Brasil,POINT (-5.059 -43.673)
focos_ams_hoje_ref.03035bf7-400a-3702-85b8-311bbee76b4d,-53.074,-25.431,2019-10-19T17:45:00,AQUA_M-T,QUEDAS DO IGUAÇU,PARANÁ,Brasil,POINT (-25.431 -53.074)
focos_ams_hoje_ref.031f674d-6ba6-3022-88bf-648a77a85c4e,-41.329,-17.536,2019-10-19T16:10:00,AQUA_M-T,TEÓFILO OTONI,MINAS GERAIS,Brasil,POINT (-17.536 -41.329)
focos_ams_hoje_ref.03391322-9cb7-3f49-9b08-a88b4176d6c8,-44.087,-19.706,2019-10-19T16:10:00,AQUA_M-T,PEDRO LEOPOLDO,MINAS GERAIS,Brasil,POINT (-19.706 -44.087)
focos_ams_hoje_ref.0388b051-a15c-3840-8123-e316798c3183,-41.276,-3.331,2019-10-19T16:15:00,AQUA_M-T,GRANJA,CEARÁ,Brasil,POINT (-3.331 -41.276)
focos_ams_hoje_ref.03c58841-5e11-31b1-bba2-f14f43bb1de3,-42.931,-8.145,2019-10-19T16:15:00,AQUA_M-T,CANTO DO BURITI,PIAUÍ,Brasil,POINT (-8.145 -42.931)
